Date,Open,High,Low,Close,Adj Close,Volume
10/22/2019,55874.22656,56935.96875,55874.22656,56670.53125,56670.53125,1455900
10/23/2019,56736.89063,56935.96875,56139.66016,56604.17578,56604.17578,1413705
10/24/2019,56604.17578,57732.27734,56471.45703,57665.91797,57665.91797,1149279
10/25/2019,57665.91797,58727.66016,57466.83984,58395.86719,58395.86719,1384123
10/28/2019,58395.86719,58528.58203,57997.71094,57997.71094,57997.71094,1292063
10/29/2019,57997.71094,58064.07031,57267.76172,57334.12109,57334.12109,1696259
10/30/2019,57135.04688,58528.58203,57135.04688,58263.14844,58263.14844,1287331
10/31/2019,58462.22266,58727.66016,58130.42969,58196.78906,58196.78906,1137645
11/1/2019,58196.78906,59324.89063,58064.07031,58926.73828,58926.73828,1696817
11/4/2019,59258.53125,61382.01953,59258.53125,61050.22266,61050.22266,1709279
11/5/2019,61116.58203,61382.01953,60187.55859,60253.91406,60253.91406,1137193
11/6/2019,60253.91406,61249.30078,60187.55859,60386.63281,60386.63281,1364141
11/7/2019,60386.63281,60983.86328,60386.63281,60585.71094,60585.71094,608583
11/8/2019,60585.71094,60983.86328,60253.91406,60718.42969,60718.42969,1229072
11/11/2019,60917.50391,60917.50391,60386.63281,60585.71094,60585.71094,805105
11/12/2019,60652.07031,61116.58203,60585.71094,60851.14453,60851.14453,897874
11/13/2019,61182.94141,61182.94141,59723.04297,60054.83984,60054.83984,1064738
11/14/2019,60054.83984,60652.07031,59855.76172,60320.27344,60320.27344,633403
11/15/2019,59723.04297,60386.63281,59324.89063,59523.96875,59523.96875,897045
11/18/2019,59391.25,59656.68359,58064.07031,58130.42969,58130.42969,1055697
11/19/2019,58395.86719,60386.63281,58395.86719,60386.63281,60386.63281,861315
11/20/2019,60386.63281,60386.63281,59391.25,59391.25,59391.25,823219
11/21/2019,59125.8125,59523.96875,58064.07031,58064.07031,58064.07031,1558614
11/22/2019,58130.42969,58727.66016,56537.81641,56736.89063,56736.89063,2134195
11/25/2019,56736.89063,57068.6875,54812.48438,56073.30469,56073.30469,2381818
11/26/2019,56073.30469,56935.96875,56073.30469,56206.01953,56206.01953,1302204
11/27/2019,56736.89063,57732.27734,56604.17578,57267.76172,57267.76172,830874
11/28/2019,57068.6875,57267.76172,56338.73828,56604.17578,56604.17578,745415
11/29/2019,56803.25,56935.96875,56405.09766,56604.17578,56604.17578,565108
12/2/2019,56604.17578,56869.60938,55077.91797,55409.71484,55409.71484,732078
12/3/2019,55077.91797,55807.86719,54414.32813,54414.32813,54414.32813,957474
12/4/2019,54347.96875,56272.37891,54082.53516,56206.01953,56206.01953,617444
12/5/2019,56405.09766,56869.60938,56139.66016,56272.37891,56272.37891,600506
12/6/2019,56272.37891,56537.81641,56006.94531,56338.73828,56338.73828,470772
12/9/2019,56338.73828,56869.60938,56006.94531,56537.81641,56537.81641,653626
12/10/2019,56604.17578,57002.32813,56405.09766,56670.53125,56670.53125,802137
12/11/2019,57068.6875,57068.6875,56537.81641,57002.32813,57002.32813,709896
12/12/2019,57135.04688,58395.86719,57068.6875,58064.07031,58064.07031,732003
12/13/2019,58462.22266,58727.66016,58064.07031,58661.30078,58661.30078,1155532
12/16/2019,58661.30078,58661.30078,56405.09766,57068.6875,57068.6875,1179267
12/17/2019,57334.12109,57732.27734,56604.17578,56604.17578,56604.17578,577253
12/18/2019,56670.53125,57533.19922,56604.17578,57533.19922,57533.19922,1304631
12/19/2019,57533.19922,58528.58203,57068.6875,58395.86719,58395.86719,1685635
12/20/2019,58395.86719,58727.66016,58263.14844,58594.94141,58594.94141,693741
12/23/2019,58993.09766,60386.63281,58993.09766,60320.27344,60320.27344,1442533
12/24/2019,60253.91406,60253.91406,58993.09766,59723.04297,59723.04297,764930
12/25/2019,59723.04297,60320.27344,59059.45313,59656.68359,59656.68359,379571
12/26/2019,60054.83984,60054.83984,59059.45313,59324.89063,59324.89063,639114
12/27/2019,59258.53125,60054.83984,58594.94141,60054.83984,60054.83984,751774
12/30/2019,60054.83984,61182.94141,59723.04297,60386.63281,60386.63281,994801
12/31/2019,60121.19922,60452.99219,59789.40234,59855.76172,59855.76172,377898
1/2/2020,59855.76172,60652.07031,59523.96875,60253.91406,60253.91406,582121
1/3/2020,60718.42969,60917.50391,59656.68359,59656.68359,59656.68359,807923
1/6/2020,59192.17188,59391.25,58064.07031,58064.07031,58064.07031,1326286
1/7/2020,57732.27734,58329.50781,56670.53125,58263.14844,58263.14844,1691708
1/8/2020,57665.91797,58329.50781,57201.40625,57732.27734,57732.27734,1269278
1/9/2020,58196.78906,58993.09766,58196.78906,58860.37891,58860.37891,1364774
1/10/2020,58860.37891,59988.48047,58329.50781,59391.25,59391.25,2405704
1/13/2020,59059.45313,59590.32813,59059.45313,59324.89063,59324.89063,2595504
1/14/2020,59391.25,59723.04297,59125.8125,59324.89063,59324.89063,1508657
1/15/2020,59457.60938,59457.60938,58926.73828,59258.53125,59258.53125,2260222
1/16/2020,59258.53125,59922.12109,58993.09766,59391.25,59391.25,1916215
1/17/2020,59391.25,62709.19531,59391.25,62709.19531,62709.19531,3391841
1/20/2020,62709.19531,62908.27344,62045.60547,62377.40234,62377.40234,1296267
1/21/2020,62311.04297,62775.55469,62111.96484,62377.40234,62377.40234,1204945
1/22/2020,62377.40234,63040.99219,61780.17188,61979.25,61979.25,1369384
1/30/2020,61116.58203,61315.66016,57732.27734,58993.09766,58993.09766,5680560
1/31/2020,58395.86719,59590.32813,58196.78906,58860.37891,58860.37891,2027096
2/3/2020,55807.86719,59855.76172,55077.91797,58860.37891,58860.37891,2767779
2/4/2020,59059.45313,59590.32813,58196.78906,59590.32813,59590.32813,2123616
2/5/2020,59855.76172,59988.48047,58926.73828,58993.09766,58993.09766,1403442
2/6/2020,59059.45313,60320.27344,58926.73828,59324.89063,59324.89063,1452614
2/7/2020,59590.32813,60253.91406,59059.45313,59723.04297,59723.04297,1819709
2/10/2020,59192.17188,59391.25,58727.66016,58993.09766,58993.09766,949472
2/11/2020,59059.45313,59391.25,58993.09766,59192.17188,59192.17188,856266
2/12/2020,59590.32813,59590.32813,59125.8125,59324.89063,59324.89063,974623
2/13/2020,59192.17188,59391.25,58926.73828,59258.53125,59258.53125,1034178
2/14/2020,59059.45313,59590.32813,59059.45313,59258.53125,59258.53125,724543
2/17/2020,59258.53125,59656.68359,59125.8125,59324.89063,59324.89063,518241
2/18/2020,59457.60938,59457.60938,59059.45313,59324.89063,59324.89063,732198
2/19/2020,59059.45313,59391.25,59059.45313,59391.25,59391.25,480733
2/20/2020,59523.96875,59988.48047,59192.17188,59391.25,59391.25,972588
2/21/2020,59391.25,59391.25,59059.45313,59059.45313,59059.45313,1532347
2/24/2020,57068.6875,58395.86719,57068.6875,57864.99219,57864.99219,1583674
2/25/2020,57068.6875,57732.27734,56935.96875,57201.40625,57201.40625,1852847
2/26/2020,57068.6875,57068.6875,55741.50781,56405.09766,56405.09766,1852425
2/27/2020,55741.50781,56139.66016,55011.55859,55741.50781,55741.50781,3034978
2/28/2020,53153.50781,55343.35547,53153.50781,54679.76563,54679.76563,3330493
3/2/2020,54082.53516,54547.04688,53949.81641,54281.61328,54281.61328,1415965
3/3/2020,55409.71484,55409.71484,54547.04688,54547.04688,54547.04688,1407903
